State,Amphibians,Arachnids,Birds,Clams,Conifers and Cycads,Corals,Crustaceans,Ferns and Allies,Fishes,Flowering Plants,Insects,Lichens,Mammals,Reptiles,Snails
AK,,,3,,,,,1,,,,,11,,
AL,1,,4,53,,,1,3,17,19,1,,8,9,12
AR,1,,4,12,,,2,,5,5,1,,4,,
AS,,,,,,5,,,,,,,,1,
AZ,2,,7,,,,,,19,21,,,9,4,3
CA,10,,16,,2,,8,,22,181,23,,30,8,3
CO,,,6,,,,,,5,16,2,,3,,
CT,,,3,1,,,,,,2,1,,1,3,
DC,,,,,,,1,,,,,,1,,
DE,,,2,,,,,,,4,,,1,3,
FL,2,,12,14,1,7,1,1,4,57,4,1,16,10,
GA,2,,4,14,1,,,2,9,23,,1,7,5,1
GU,,,8,,,3,,,,3,2,,2,1,3
HI,,1,35,,,,2,16,,370,20,,3,3,5
IA,,,2,3,,,,,2,5,2,,2,,1
ID,,,1,,,,,,2,4,,,4,,4
IL,,,3,11,,,1,,1,9,2,,3,,1
IN,,,3,10,,,,,,6,2,,3,1,
KS,,,4,3,,,,,4,2,1,,3,,
KY,,,1,21,,,2,,6,10,,,4,,
LA,1,,4,5,,,,1,3,2,,,2,6,
MA,,,3,1,,,,,,3,3,,1,4,
MD,,,2,1,,,1,,1,6,2,,1,3,
ME,,,3,,,,,,1,3,,,2,2,
MI,,,3,4,,,,1,,7,5,,4,1,
MN,,,1,5,,,,,1,4,3,,3,,
MO,1,,4,11,,,1,,6,10,1,,4,,1
MP,,,6,,,3,,,,5,2,,2,1,3
MS,1,,6,15,,,,1,6,2,1,,6,9,
MT,,,5,,,,,,3,3,,,4,,
NC,,1,5,7,,,,,6,26,1,1,7,4,1
ND,,,4,,,,,,1,1,2,,1,,
NE,,,4,1,,,,,2,4,2,,1,,
NH,,,3,1,,,,,,3,,,1,2,
NJ,,,3,1,,,,,,6,1,,2,3,
NM,2,,5,,,,2,,14,13,,,7,3,6
NV,,,2,,,,,,23,10,3,,,1,
NY,,,3,3,,,,1,,7,1,,2,3,1
OH,,,2,10,,,,,1,6,3,,2,1,
OK,,,6,5,,,,,4,1,1,,4,,
OR,1,,6,,,,1,,14,20,3,,10,3,
PA,,,1,7,,,,,1,2,,,2,1,
PR,4,,8,,,5,,8,,42,,,1,8,
PT,,,,,,,,,,,,,,1,
RI,,,3,,,,,,,2,1,,1,2,
SC,1,,6,1,,,,1,1,19,,1,3,4,
SD,,,4,2,,,,,2,2,3,,2,,
TN,,1,1,44,,,1,1,18,18,,1,5,,3
TX,8,10,13,,,,3,,12,30,9,,4,4,5
UT,,,4,,,,,,9,25,,,2,1,1
VA,1,1,4,25,,,3,,6,16,2,1,5,4,1
VI,,,1,,,5,,,,5,,,,5,
VT,,,,1,,,,,,2,,,2,,
WA,1,,6,,,,,,9,11,2,,19,1,
WI,,,3,5,,,,,,7,3,,3,,
WV,1,,1,6,,,3,,1,6,,,3,,1
WY,1,,1,,,,,,1,4,,,5,,
